address,id,eyes,ears,mouth,horn,back,tail,class,breedcount,speed
0xabfdaa15c236d506d189c0f75236bfecc9b70f8b,11275258,eyes-gero,ears-pogona,mouth-toothless-bite,horn-arco,back-furball,tail-twin-tail,Mech,2,46
0x4fe641b54444d46201c32bafc3c48b4daaeb902c,7630035,eyes-gero,ears-pink-cheek,mouth-nut-cracker,horn-imp,back-ronin,tail-nut-cracker,Mech,4,49
0x4fe641b54444d46201c32bafc3c48b4daaeb902c,9845714,eyes-papi,ears-leafy,mouth-serious,horn-cactus,back-watering-can,tail-cattail,Plant,0,31
0x4fe641b54444d46201c32bafc3c48b4daaeb902c,10717816,eyes-mavis,ears-curly,mouth-toothless-bite,horn-eggshell,back-pigeon-post,tail-swallow,Bird,4,59
0xc93f64423052887fb5e96c74221f005f23393d2e,11197737,eyes-mavis,ears-early-bird,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,5,61
0xc93f64423052887fb5e96c74221f005f23393d2e,11295010,eyes-blossom,ears-belieber,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,0,33
0xc93f64423052887fb5e96c74221f005f23393d2e,11297315,eyes-kotaro?,ears-hollow,mouth-mosquito,horn-parasite,back-snail-shell,tail-cottontail,Bug,3,32
0x3f74854634f38d85214fab55a9df20657394f82f,11224963,eyes-blossom,ears-hollow,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,2,32
0x3f74854634f38d85214fab55a9df20657394f82f,11285560,eyes-tricky,ears-friezard,mouth-mosquito,horn-caterpillars,back-snail-shell,tail-twin-tail,Bug,0,33
0x3f74854634f38d85214fab55a9df20657394f82f,11295884,eyes-mavis,ears-pink-cheek,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,2,61
0xedfd2d1a9deb6fbc93d9f50235ad22a3493f355d,216911,eyes-mavis,ears-early-bird,mouth-hungry-bird,horn-eggshell,back-tri-feather,tail-hare,Bird,1,59
0xedfd2d1a9deb6fbc93d9f50235ad22a3493f355d,1978645,eyes-gero,ears-nimo,mouth-catfish,horn-parasite,back-sponge,tail-nimo,Aquatic,3,54
0xedfd2d1a9deb6fbc93d9f50235ad22a3493f355d,11204059,eyes-blossom,ears-rosa,mouth-serious,horn-beech,back-sandal,tail-cattail,Plant,4,31
0x929743dcc628e0096679a9d08c8b7513bed70f87,9265623,eyes-robin,ears-risky-bird,mouth-goda,horn-arco,back-hero,tail-hare,Mech,7,49
0x929743dcc628e0096679a9d08c8b7513bed70f87,11050196,eyes-tricky,ears-rosa,mouth-kotaro,horn-scaly-spoon,back-indian-star,tail-tiny-dino,Reptile,6,40
0x929743dcc628e0096679a9d08c8b7513bed70f87,11173164,eyes-scar,ears-friezard,mouth-goda,horn-caterpillars,back-sandal,tail-cattail,Dusk,4,42
0x90456f79b6ac311136de2b627ebb3671f919394c,11217751,eyes-papi,ears-tiny-fan,mouth-goda,horn-beech,back-sandal,tail-cattail,Plant,1,35
0x90456f79b6ac311136de2b627ebb3671f919394c,11241403,eyes-clear,ears-bubblemaker,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,2,52
0x90456f79b6ac311136de2b627ebb3671f919394c,11254387,eyes-confused,ears-lotus,mouth-serious,horn-beech,back-sandal,tail-cattail,Plant,3,31
0x0a1c0cd9a9ab7a7735cb4c9728e2d335a77506e5,11283753,eyes-papi,ears-sakura,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,4,41
0x0a1c0cd9a9ab7a7735cb4c9728e2d335a77506e5,11283867,eyes-tricky,ears-sakura,mouth-razor-bite,horn-scaly-spear,back-scarab,tail-cottontail,Reptile,3,39
0x0a1c0cd9a9ab7a7735cb4c9728e2d335a77506e5,11285783,eyes-confused,ears-lotus,mouth-goda,horn-scaly-spear,back-sandal,tail-cattail,Dusk,3,41
0xfbe5c87aa99f08dff8d9f4a596c1fc9ff7cd0919,11101356,eyes-papi,ears-pogona,mouth-kotaro,horn-scaly-spoon,back-indian-star,tail-tiny-dino,Reptile,4,40
0xfbe5c87aa99f08dff8d9f4a596c1fc9ff7cd0919,11251777,eyes-scar,ears-small-frill,mouth-goda,horn-beech,back-sandal,tail-cattail,Dusk,3,42
0xfbe5c87aa99f08dff8d9f4a596c1fc9ff7cd0919,11263314,eyes-sleepless,ears-early-bird,mouth-piranha,horn-arco,back-scarab,tail-nimo,Aquatic,4,52
0xc04d76b76c7fd6789e878a0d0a9bea7cbf8d94bf,11083736,eyes-papi,ears-clover,mouth-serious,horn-beech,back-sandal,tail-cattail,Plant,4,31
0xc04d76b76c7fd6789e878a0d0a9bea7cbf8d94bf,11283784,eyes-tricky,ears-inkling,mouth-mosquito,horn-caterpillars,back-snail-shell,tail-twin-tail,Bug,2,35
0xc04d76b76c7fd6789e878a0d0a9bea7cbf8d94bf,11283837,eyes-mavis,ears-owl,mouth-peace-maker,horn-eggshell,back-tri-feather,tail-the-last-one,Bird,2,61
